Label,dec0,dec1,obj0,obj1
0,1,111010001000000010000000000000000011000000100010000100111000,-0.167741,0.141058
0,1,111010001000000011000000000000000011000000100010000100111000,-0.168518,0.161489
0,1,111010011010000010000000000010000001000100000010000100111010,-0.178300,0.210189
0,1,111011001010000010000001000000000001000100000000000101111010,-0.153847,0.215063
0,1,000010001001001110110111011111101111110110011101100100010101,-0.069097,0.602233
1,1,100010100000000000000000000000000001100100000000000000000000,-0.085877,0.029394
1,1,100010100000000000000000000000000001100100000100000000000000,-0.122866,0.045614
0,1,011010010000001101101101000111101001111000010100001010010001,-0.128968,0.437542
0,1,111011010010000010000010000000001001001110100010001100111000,-0.143312,0.270510
0,1,111011010010000010000010000000000101001110100010001100111000,-0.158827,0.259909
0,1,011000000000011000011111101011011111000111000010000000010101,-0.150645,0.500381
0,1,111011001010000010000000000000000001000100000010000100101000,-0.134543,0.154108
0,1,111011001010000010000000000000100001000100000110000100101000,-0.165484,0.181011
0,1,111010001010000010000000000000000001010000000010000100111010,-0.148790,0.167669
0,1,111011001010000010000001000000000001000100100010000100111010,-0.164188,0.237628
0,1,111011010010000010000010000000001001001110100010000100111000,-0.144975,0.259777
0,1,111011010010000110000010000000001001001110100010000100111000,-0.134407,0.281148
0,1,110100110100011000100011110110011001000001000000010001111110,-0.123238,0.453209
0,1,100100010001010001000011100010101101111100101101010110101000,-0.221684,0.380419
1,1,001011000000000000000000000000000011100100000000000000100000,-0.127455,0.045587
1,1,001011000000000000000000000000000011100100000000000000100010,-0.185091,0.056669
0,1,101110000010100100010111110000110111001110001101001010110110,-0.174011,0.480194
0,1,001010000000000000000000000000000011000100000000000100000000,-0.088671,0.038954
1,1,001010000000000000000000000000000000000100000000000000000000,-0.058057,0.016964
1,1,001010000000000000000000000000000011000100000000000000000000,-0.087537,0.031379
1,1,001011000000000000000000000000000011010100000000000000000000,-0.109134,0.038785
0,1,111110100011001110100011011100011100101111101100101010111011,-0.114158,0.594922
1,1,000011000000000000000000000000000011010100000000000000000001,-0.167274,0.041751
1,1,000011000000000000000000000000000011000100000000000001000000,-0.109134,0.035199
1,1,000011000000000000000000000000000011010100000000000000000000,-0.109134,0.033875
1,1,000010000000000000000000000000000011000100000000000000000000,-0.087537,0.023661
0,1,001010000000000000000000000000001010100100000000000000000000,-0.088064,0.041193
1,1,100010000000000000000000000000000010100100000000000000000000,-0.087537,0.031400
0,1,011001000000011110100100011001000101111011010100010011111000,-0.123623,0.407791
0,1,011001000000011110100100011001000101111011000100010011111000,-0.122592,0.394595
0,1,101010000000000000000000000000000011100100000000000000000000,-0.087537,0.041309
1,1,101010000000000000000000000000000011100100000000000000000010,-0.145173,0.052391
0,1,100010000000000000000000000000000011100100000000001000000000,-0.088104,0.038608
1,1,001010000000000000000000000000000001100100000000000000000000,-0.062534,0.026954
0,1,100010000000000000000000000000000011100100000000000000000000,-0.087537,0.033592
0,1,011000100101110111001000001000000001101001101101111111010010,-0.107853,0.426459
1,1,001011000000000000000000000000000010000100000000000000000000,-0.105315,0.034406
1,1,000011000000000000000000000000000000000000000010000000010000,-0.133010,0.036933
1,1,000011000000000000000000000000000000000000000000000000010000,-0.099296,0.023546
1,1,000011000000000000000000000000000000000100000000000000000000,-0.082058,0.017269
0,1,110000101110111000000101101101001100000001110001011010100010,-0.118197,0.489582
1,1,000011000000000000000000000000000011000100000000000100000000,-0.110269,0.036463
1,1,000011000000000000000000000000000010000100000000000000000000,-0.105315,0.026689
0,1,011000101001111100111101101010101100010110011111110001111010,-0.110611,0.606725
1,1,001011000000000000000000000000000011100100000010000010000000,-0.149150,0.058216
1,1,001011000000000000000000000000000011000100000000000000000000,-0.109134,0.036606
1,1,000011000000000000000000000000000001000100000000000000000000,-0.085877,0.019464
1,1,000011000000000000000000000000000011000100000000001000000000,-0.109701,0.033951
1,1,000011000000000000000000000000000011000100000000000000000001,-0.167274,0.036764
1,1,000011000000000000000000000000000011000100000000000000000000,-0.109134,0.028888
1,1,000010000000000000000000000000000011010100000000000000000000,-0.087537,0.028655
0,1,111111000010000011000010000000001001001110110010000100001000,-0.114029,0.278241
0,1,100011111000011110010111100001000000000111100001000111001110,-0.086824,0.465548
0,1,001011000000000000000000000000000010100100000000000000000000,-0.109134,0.039401
0,1,001011000000000000000000000000000011100100000000000000000000,-0.109134,0.041601
1,1,001011000000000000000000000000000011100100000000000000000001,-0.167274,0.049477
1,1,001011000000000000000000000000000001100100000000000000000000,-0.085877,0.032183
1,1,000011000000000000000000000000000011100100000000000000000000,-0.109134,0.033883
0,1,111010001000000010000000000000000011000100000010000100111000,-0.192269,0.122390
0,1,111010001000000010000000000000000001000100000010001100111000,-0.167037,0.136491
0,1,111010001010000010000000000000000011000100000000000100111010,-0.183220,0.169963
0,1,111010001010000010000000000100000011000100000000000100111010,-0.201229,0.201268
1,1,000010000000000000000000000000000000000000000000000000100000,-0.032780,0.010776
1,1,000010100000000000000000000000000000000000000000000000000000,-0.036821,0.015513
0,1,111010001010000010000000000000000001000100000010000100111010,-0.167562,0.167252
0,1,111011001010000010000000000000000001000100000000000101111010,-0.169477,0.188518
0,1,111010001010000010000000000000000001000100100010000100111010,-0.167562,0.188284
0,1,111010001000000010000000000000000001000100000010000100111000,-0.167266,0.112276
0,1,111010001000000010000000000000000001000100000110000100111000,-0.153742,0.134873
