Label,dec0,dec1,obj0,obj1
0,1,111010101000000000000001010000111010000001000111000000001001,-0.185586,0.252050
0,1,101010100000000000000000000000000000010100000000001001000000,-0.113222,0.046440
0,1,111010100000010000000000000000011010010010110011001001011001,-0.172782,0.256129
1,1,100010000100000000000000000000000000001100000000001000000100,-0.142637,0.043060
1,1,101000100000000000000000000000000000010100000000001001000000,-0.113222,0.042103
0,1,100010111000100010011010101101110101010110010010000101111001,-0.127093,0.474373
0,1,101101000001001101010100011100100101101001010010011010010000,-0.100183,0.417994
0,1,001101000001001111010100011100100001101001010010011010010000,-0.072235,0.413840
0,1,101000100000000000000000000000000000010100000000001101000000,-0.113222,0.047383
0,1,100000000000000000000000000000010000010100000000001101100000,-0.119624,0.050537
0,1,111010101000000000000000010000111010000001000111000001011001,-0.179532,0.236220
0,1,111010101000000100000000000000011010000000010011000001011001,-0.160641,0.213077
0,1,111010100000000000000000000000011010000010110011000001011001,-0.165702,0.213043
0,1,011010101000000000000000000000010010000010010011000001010001,-0.182395,0.164680
0,1,011010101000000000000000000000000010000010010001000001010001,-0.163936,0.127838
0,1,011010101000000000000000000000011010000010010001000001010001,-0.164463,0.156120
0,1,011010101000000000000000000000010010000010010011100001010001,-0.181861,0.172100
0,1,111010101000000000000000100000000000000100000011001001000000,-0.157279,0.122305
0,1,111010100000000000000000000000000000000100000000001001000000,-0.109402,0.049485
1,1,000010000000000000000000000000000000001100000000000001000010,-0.120674,0.025255
1,1,101010101000000000000000000100000000000100000000001001001000,-0.190469,0.088322
0,1,111010100000000000000000000000011010000010110011001001011001,-0.178810,0.221921
0,1,011010101000000000000000000000010010000010010011001001010000,-0.161488,0.166049
0,1,011010101000000000000000000000010010000010010011001001010010,-0.162327,0.180304
0,1,011010101000000000000000000000010010000010010011001001010001,-0.188792,0.173930
0,1,011010101000000000000000000000011000000010010001000001010001,-0.164463,0.146635
1,1,100010000100000000000000000000000000001100000000001001000100,-0.169414,0.046248
0,1,111110101000000100000000000000011010000010010011001001010001,-0.183475,0.230687
0,1,011010101000000000000000000000010010000010010011000011010001,-0.179305,0.173016
1,1,000000000000000000000000000000000100001100000000000001000010,-0.116119,0.030630
0,1,011010101000000000000000000000011010000010010001000011010001,-0.164463,0.165315
1,1,000000000000000000000000000000000000001100000000000001000010,-0.092541,0.020918
1,1,000000000000000000000000000000000000001100000000000001000000,-0.034401,0.012998
1,1,000000000000000000000000000000000000001100000000001001000010,-0.119886,0.028493
1,1,100000000000000000000000000000000000010100000000001000100000,-0.076205,0.026051
0,1,111010101000000001000000010100001010100000000010000101011111,-0.204911,0.266790
0,1,100100101001010101000111100011100101010010101000110010001001,-0.111304,0.466400
1,1,001010000100000000000000000000000000010100000000001001000100,-0.169918,0.045769
0,1,111001101110001110100110010000000110110001010000010001011110,-0.145166,0.439552
0,1,111001101001011010111110010001011100110110111101011111000111,-0.074215,0.599458
0,1,110111101010000010111110001011010010101000001000111000111011,-0.104893,0.473295
1,1,100010000000000000000000000000000000010100000000001001000000,-0.089878,0.033507
0,1,001100001001101010000000001010000010100111001000100110000111,-0.124027,0.354944
1,1,001000000000000000000000000000000000010100000000001001000000,-0.061746,0.028687
1,1,000001000000000000000000000000000000000100000000000001000010,-0.114663,0.027182
0,1,101000000000000000000000000000000000010100000000001001000000,-0.089878,0.034081
1,1,101000000100000000000000000000000000010100000010001001000100,-0.207069,0.059709
1,1,101000000100000000000000000000000000010100000000001001000100,-0.169918,0.046322
1,1,101000000100000000000000000000000000010100000110001001000100,-0.214314,0.077628
0,1,111001101110001010100110010000000110010001000000010001011110,-0.134156,0.400846
1,1,001000000100000000000000000000000010010100000010001001000100,-0.207610,0.063758
1,1,100000000000000000000000000000000000010100000000001001000000,-0.076205,0.029170
1,1,100000000000000000000000000000100000010100000000001001000000,-0.122983,0.039881
1,1,100000000000000000000000000000000000010100000010001001000000,-0.123174,0.042557
1,1,101000000100000000000000000000000010010100000010001001000100,-0.230326,0.069151
0,1,100000000000000000000000000000100000010100000000001101000000,-0.122983,0.047456
1,1,100000000000000000000000000000000000010100000000001101000001,-0.134345,0.044665
0,1,111010000000010000000000000000000000000100000010001001000000,-0.127341,0.075993
1,1,111010000000010000000000000000000000000100000000001001000010,-0.145832,0.069029
0,1,111010000000000000000000000000000000000100000000001001000000,-0.085401,0.043977
0,1,101010000000000000000000000000001000000100000000001001000000,-0.110079,0.046052
0,1,101010000000000000000000000000000000000100000000001001000000,-0.085401,0.036238
1,1,100010000000000000000000000000000000000100000000000001000010,-0.115692,0.031237
1,1,100010000000000000000000000000000000000100000000001001000000,-0.085401,0.028521
0,1,010010100111100100111000001100111000111001010011001000010000,-0.068795,0.438430
0,1,110001011000000101000010010010101111101011110000110000000010,-0.136157,0.361796
