Label,dec0,dec1,obj0,obj1
0,1,000011000000000000000000000000100001000110100100000101101011,-0.217724,0.147512
0,1,000010000000000000000000000000100001000110100100000100101011,-0.220350,0.134942
1,1,000010000000000000000000000000000000000000000000000000110000,-0.094247,0.021701
1,1,000010000000000000000000000000000000010100000000000001100000,-0.089878,0.023836
0,1,100101000100000000000001000010101001011000011010100010000100,-0.243119,0.182529
0,1,100101000100000000000001000011101001011000011010100010000100,-0.234880,0.206772
0,1,001010000000000000000000000000100001010110100100000101101011,-0.216688,0.150617
0,1,001011000000000000000000000000100001000110100100000101101011,-0.214224,0.156353
0,1,001011000010000000000000000000100001000110101100000101101011,-0.192514,0.202139
0,1,001010000001000000000000000000100001010110100100000101101011,-0.219761,0.168544
1,1,000010000000000000000000000000000001000100000000000000100000,-0.080855,0.017533
1,1,000010010000000000000000000000000001000100000000000000110000,-0.143330,0.033381
1,1,001010000000000000000000000000000001000100000100000000100000,-0.130995,0.037203
1,1,001010000000000000000000000000000001000100000000000000100000,-0.080855,0.025251
1,1,001010000000000000000000000000100001000100000000000000100000,-0.113298,0.035120
0,1,100101000100000000000001000010101101011000011010100000000100,-0.243100,0.194430
0,1,100101000100000000000001000010101001011000011010100000000100,-0.243119,0.176776
0,1,000111000100000000100001000000100001010000011010101010100100,-0.240622,0.177250
0,1,100001000100110011111100111011001101100011100010010000110100,-0.070682,0.518721
0,1,000010000000000000000000000000100000000110100100000110101011,-0.217565,0.139082
0,1,000000000000000000000000000000100001000110100100001000101001,-0.167588,0.106223
0,1,010010000000010000000000000000100001000110100100000101101011,-0.224441,0.160049
0,1,010010000000000000000000000000100001000110100100000101101011,-0.221506,0.142942
0,1,010010000000000000000000000000100001000110100100000101101001,-0.216156,0.134997
0,1,010101110010001000011000011001000011100000001100101110000100,-0.177317,0.357108
0,1,000110000000000000000000000000100001000110100100000001101011,-0.200408,0.152643
0,1,000010000000000000000000000000100001000110100100000101101011,-0.220350,0.138116
0,1,010100011100111000111000000110001001001100100011111101011101,-0.155844,0.435160
1,1,000010000000000000000000000000000001000100000100000101100000,-0.161410,0.043371
1,1,000010000000000000000000000000000000000100000000000001100000,-0.085401,0.018849
0,1,001010000010000100000000000000100001000110100100001101101011,-0.199388,0.212563
0,1,000010000000010000000000000000100001000110100100000101101011,-0.223423,0.155222
